ColumnVariableCode,ColumnVariableMeasurementUnitValue,ColumnVariableStatisticalUnitValue,ColumnVariableCodeValue,ColumnVariableParentCodeValue
GeographyCode,,,Geography Code
DC1117EW0105,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_033, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0106,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_034, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0107,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_034, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0108,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_034, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0109,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_035, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0110,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_035, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0111,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_035, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0112,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_036, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0113,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_036, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0114,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_036, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0115,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_037, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0116,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_037, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0117,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_037, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0118,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_038, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0119,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_038, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0120,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_038, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0121,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_039, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0122,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_039, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0123,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_039, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0124,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_040, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0125,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_040, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0126,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_040, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0127,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_041, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0128,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_041, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0129,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_041, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0130,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_042, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0131,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_042, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0132,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_042, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0133,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_043, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0134,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_043, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0135,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_043, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0136,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_044, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0137,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_044, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0138,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_044, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0139,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_045, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0140,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_045, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0141,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_045, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0142,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_046, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0143,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_046, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0144,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_046, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0145,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_047, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0146,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_047, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0147,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_047, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0148,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_048, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0149,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_048, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0150,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_048, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
